'ABridgen','Andrew Bridgen'
'ACunninghamMP','Alex Cunningham'
'AdamAfriyie','Adam Afriyie'
'AdrianBaileyMP','Adrian Bailey'
'AJonesMP','Andrew Jones'
'AlanBrownSNP','Alan Brown'
'alancampbellmp','Alan Campbell'
'AlanMakMP','Alan Mak'
'alanwhiteheadmp','Alan Whitehead'
'AlbertoCostaMP','Alberto Costa'
'AlbertOwenMP','Albert Owen'
'AlecShelbrooke','Alec Shelbrooke'
'ALewerMBE','Andrew Lewer'
'alexburghart','Alex Burghart'
'AlexChalkChelt','Alex Chalk'
'alexsobel','Alex Sobel'
'Alison_McGovern','Alison McGovern'
'alisonthewliss','Alison Thewliss'
'AlistairBurtUK','Alistair Burt'
'AlokSharma_RDG','Alok Sharma'
'AlunCairns','Alun Cairns'
'amandamilling','Amanda Milling'
'AmberRuddHR','Amber Rudd'
'amcarmichaelMP','Alistair Carmichael'
'andreajenkyns','Andrea Jenkyns'
'andrealeadsom','Andrea Leadsom'
'Andrew4Pendle','Andrew Stephenson'
'AndrewRosindell','Andrew Rosindell'
'AndrewSelous','Andrew Selous'
'AndyMcDonaldMP','Andy McDonald'
'AngelaCrawley30','Angela Crawley'
'angelaeagle','Angela Eagle'
'AngelaRayner','Angela Rayner'
'angelasmithmp','Angela Smith'
'AngusMacNeilSNP','Angus B MacNeil'
'Anna_Soubry','Anna Soubry'
'AnnaMcMorrin','Anna McMorrin'
'AnnClwyd','Ann Clwyd'
'anncoffey_mp','Ann Coffey'
'AnnelieseDodds','Anneliese Dodds'
'AnneMarieMorris','Anne Marie Morris'
'AnneMilton','Anne Milton'
'annietrev','Anne-Marie Trevelyan'
'ANorrisMP','Alex Norris'
'AWMurrison','andrew murrison'
'BambosMP','Bambos Charalambous'
'BarryGardiner','Barry Gardiner'
'BarryMcElduff','Barry McElduff'
'BarrySheerman','Barry Sheerman'
'BenMLake','Ben Lake AS/'
'BenPBradshaw','Ben Bradshaw'
'bernardjenkin','Bernard Jenkin'
'Bill_Esterson','Bill Esterson'
'BillCashMP','Bill Cash'
'BimAfolami','Bim Afolami'
'BlaenauGwentMP','Nick Smith'
'BobBlackman','Bob Blackman'
'BorisJohnson','Boris Johnson'
'bphillipsonMP','Bridget Phillipson'
'BrandonLewis','Brandon Lewis'
'BrendanOHaraSNP','Brendan O'Hara'
'BrineMP','Steve Brine'
'BWallaceMP','Rt. Hon Ben Wallace'
'cajardineMP','Christine Jardine'
'CarolineFlintMP','Caroline Flint'
'CarolineLucas','Caroline Lucas'
'carolinenokes','Caroline Nokes'
'carolynharris24','Carolyn Harris'
'CatherineWest1','Catherine West'
'CatMcKinnell','Catherine McKinnell'
'CatSmithMP','Cat Smith'
'CGreenUK','Chris Green'
'CharlieElphicke','Charlie Elphicke'
'CherylGillan','Rt Hon Dame Cheryl Gillan'
'chhcalling','Chris Heaton-Harris'
'Chris_RuaneMP','Chris Ruane'
'ChrisEvansMP','Chris Evans'
'ChrisHazzardSF','Chris Hazzard'
'ChrisLawSNP','Chris Law'
'ChrisLeslieMP','Chris Leslie'
'ChrisM4Chester','Chris Matheson'
'ChrisPincher','Christopher Pincher'
'ChrisStephens','Chris Stephens'
'ChukaUmunna','Chuka Umunna'
'cj_dinenage','Caroline Dinenage'
'CliveEfford','Clive Efford'
'cmackinlay','Craig Mackinlay'
'CMonaghanSNP','Carol Monaghan'
'Colin_J_Clark','Colin J. Clark'
'ConorBurnsUK','Conor Burns'
'ConorMcGinn','Conor McGinn'
'coyleneil','Neil Coyle'
'CPhilpOfficial','Chris Philp'
'CPJElmore','Chris Elmore'
'craig4nwarks','Craig Tracey'
'CrispinBlunt','Crispin Blunt'
'CSkidmoreUK','Chris Skidmore'
'CWhittakerMP','Craig Whittaker'
'DamianCollins','Damian Collins'
'DamianGreen','Damian Green'
'DamianHinds','Damian Hinds'
'damienmooremp','Damien Moore'
'DanCardenMP','Dan Carden'
'DanielZeichner','Daniel Zeichner'
'DaniRowley','Danielle Rowley'
'DanJarvisMP','Dan Jarvis'
'darrenpjones','Darren Jones'
'DavidCrausby','David Crausby'
'DavidDavisMP','David Davis'
'DavidEDrew','David Drew'
'DavidEvennett','Sir David Evennett'
'DavidGauke','David Gauke'
'DavidHansonMP','David Hanson'
'DavidJonesMP','David Jones'
'DavidLammy','David Lammy'
'DavidLinden','David Linden'
'davidmorrisml','David Morris'
'DavidMundellDCT','David Mundell'
'DavidRutley','David Rutley'
'DavidSimpsonDUP','David Simpson'
'DawnButlerBrent','Dawn Butler'
'Debbie_abrahams','Debbie Abrahams'
'DeidreBrock','Deidre Brock'
'DerbyChrisW','Chris Williamson'
'DerekThomasUK','Derek Thomas'
'DerekTwiggMP','Derek Twigg'
'DesmondSwayne','Desmond Swayne'
'DianaJohnsonMP','Diana Johnson'
'DJWarburton','David Warburton'
'DLidington','David Lidington'
'DougChapmanSNP','Douglas Chapman'
'Douglas4Moray','Douglas Ross'
'Dr_PhilippaW','Dr Philippa Whitford'
'drcarolinej','Dr Caroline Johnson'
'drewhendrySNP','Drew Hendry'
'DrLisaCameronMP','Dr Lisa Cameron'
'DrPhillipLeeMP','Dr Phillip Lee'
'DrRosena','Dr Rosena Allin-Khan'
'Dunne4Ludlow','Philip Dunne'
'eastantrimmp','Sammy Wilson'
'Ed_Miliband','Ed Miliband'
'EddieHughes','Eddie Hughes'
'edvaizey','Ed Vaizey'
'EdwardJDavey','Ed Davey'
'EdwardLeighMP','Sir Edward Leigh'
'edwardtimpson','Edward Timpson'
'eleanor4epping','Eleanor Laing'
'Eleanor_SmithMP','Eleanor Smith'
'ElishaMcC_SF','Elisha McCallion'
'elliereeves','Ellie Reeves'
'EmilyThornberry','Emily Thornberry'
'emmadentcoad','Emma Dent Coad'
'EmmaHardyMP','Emma Hardy'
'EmmaLewellBuck','Emma Lewell-Buck'
'EmmaReynoldsMP','Emma Reynolds'
'EstherMcVey1','Esther McVey'
'FabianLeedsNE','Fabian Hamilton'
'FaisalRashidMP','Faisal Rashid'
'Fiona_Onasanya','Fiona Onasanya'
'FitzMP','Jim Fitzpatrick'
'FrancieMolloy','Francie Molloy'
'frankfieldteam','Frank Field'
'gareth_snell','Gareth Snell'
'GarethJohnsonMP','Gareth Johnson'
'GarethThomasMP','Gareth Thomas'
'gavinshuker','Gavin Shuker'
'GavinWilliamson','Gavin Williamson'
'GavNewlandsSNP','Gavin Newlands'
'Gedk','Ged Killen'
'Geoffrey_Cox','Geoffrey Cox QC'
'GeorgeFreemanMP','George Freeman'
'GeraintDaviesMP','Geraint Davies'
'GeraldJonesLAB','Gerald Jones'
'gildernewm','Michelle Gildernew'
'GilesWatling','Giles Watling'
'GillFurnissMP','Gill Furniss'
'GillianKeegan','Gillian Keegan'
'GlindonMary','Mary Glindon'
'GloriaDePiero','Gloria De Piero'
'GlynDavies','Glyn Davies'
'GordonMarsden','Gordon Marsden'
'GradySNP','Patrick Grady'
'grahamemorris','Grahame Morris'
'GrahamJones_MP','Graham Jones'
'grahamstuart','Graham Stuart'
'grantshapps','Grant Shapps'
'GregClarkMP','Greg Clark'
'GregHands','Greg Hands'
'GregKnight','Sir Greg Knight'
'GRobinsonDUP','Gavin Robinson'
'GutoAberconwy','Guto Bebb'
'GuyOpperman','Guy Opperman'
'GwynneMP','Andrew J. Gwynne'
'HackneyAbbott','Diane Abbott'
'halfon4harlowMP','Robert Halfon'
'hammersmithandy','Andy Slaughter'
'HannahB4LiviMP','Hannah Bardell'
'HarrietHarman','Harriet Harman'
'hbaldwin','Harriett Baldwin'
'HeatherWheeler','Heather Wheeler'
'Heidi_LDN','Heidi Alexander'
'heidiallen75','Heidi Allen'
'Helen_Whately','Helen Whately'
'HelenGoodmanMP','Helen Goodman'
